User_id,Merchant_id,Coupon_id,Discount_rate,Distance,Date_received,Date
1439408,2632,8591.0,20:1,0.0,20160516.0,20160613.0
1113008,1361,11166.0,20:1,0.0,20160515.0,20160521.0
2881376,8390,7531.0,20:5,0.0,20160321.0,20160329.0
114747,6901,2366.0,30:5,0.0,20160523.0,20160605.0
114747,5341,111.0,30:5,0.0,20160127.0,20160221.0
114747,5341,111.0,30:5,0.0,20160207.0,20160218.0
114747,5341,7751.0,50:10,0.0,20160127.0,20160128.0
114747,2454,8088.0,20:5,0.0,20160324.0,20160331.0
114747,3381,9776.0,10:5,0.0,20160129.0,20160221.0
205174,1169,4627.0,50:20,0.0,20160206.0,20160214.0
1380272,2099,12034.0,100:10,1.0,20160201.0,20160205.0
1380272,5341,7751.0,50:10,0.0,20160201.0,20160206.0
1380272,5341,111.0,30:5,0.0,20160201.0,20160205.0
94491,2786,13163.0,30:10,8.0,20160321.0,20160327.0
756312,6485,10323.0,20:5,0.0,20160323.0,20160324.0
756312,6485,10323.0,20:5,0.0,20160323.0,20160329.0
1910192,8244,5756.0,30:5,10.0,20160528.0,20160626.0
1976240,4225,6478.0,50:5,3.0,20160525.0,20160608.0
222550,3381,9776.0,10:5,0.0,20160129.0,20160214.0
165334,6189,12807.0,30:1,0.0,20160610.0,20160610.0
165334,450,8555.0,30:5,0.0,20160131.0,20160223.0
1454000,4142,4773.0,100:10,0.0,20160127.0,20160210.0
3045728,3293,11364.0,30:5,0.0,20160228.0,20160305.0
3045728,3293,11364.0,30:5,0.0,20160305.0,20160308.0
141622,171,5825.0,20:5,1.0,20160525.0,20160531.0
74955,4033,13517.0,30:5,10.0,20160506.0,20160514.0
141718,3621,2705.0,20:5,0.0,20160522.0,20160607.0
232054,112,10175.0,100:30,2.0,20160525.0,20160621.0
994008,4142,4773.0,100:10,0.0,20160126.0,20160129.0
994008,4142,4773.0,100:10,0.0,20160124.0,20160126.0
994008,4142,4773.0,100:10,0.0,20160129.0,20160202.0
601560,7422,4727.0,0.8,5.0,20160528.0,20160528.0
601560,7422,4727.0,0.8,5.0,20160611.0,20160611.0
334252,450,11831.0,30:5,1.0,20160602.0,20160609.0
334252,3532,1563.0,30:5,2.0,20160523.0,20160524.0
2936672,3621,4823.0,20:5,0.0,20160611.0,20160614.0
1469360,3283,1531.0,10:5,0.0,20160326.0,20160329.0
1469360,3283,1531.0,10:5,0.0,20160326.0,20160328.0
142870,860,11426.0,50:5,0.0,20160605.0,20160625.0
67467,1169,10929.0,200:30,0.0,20160128.0,20160129.0
1346225,7113,1808.0,100:10,0.0,20160528.0,20160625.0
1346225,1379,1579.0,30:5,0.0,20160326.0,20160401.0
6986436,6021,4448.0,20:5,1.0,20160414.0,20160421.0
4019042,1398,13374.0,20:5,3.0,20160608.0,20160610.0
5941956,5341,111.0,30:5,0.0,20160203.0,20160209.0
6212292,3710,10263.0,100:10,2.0,20160202.0,20160220.0
6759108,4860,802.0,100:30,1.0,20160220.0,20160305.0
6759108,4860,9704.0,100:20,1.0,20160110.0,20160117.0
6759108,582,3193.0,100:20,9.0,20160416.0,20160423.0
6759108,582,3193.0,100:20,9.0,20160423.0,20160502.0
6759108,4860,9704.0,100:20,1.0,20160117.0,20160130.0
1562033,6494,9345.0,10:1,0.0,20160105.0,20160120.0
1562033,6494,9345.0,10:1,0.0,20160112.0,20160122.0
1562033,6494,9345.0,10:1,0.0,20160104.0,20160104.0
1562033,6494,9345.0,10:1,0.0,20160104.0,20160113.0
1562033,6494,9345.0,10:1,0.0,20160113.0,20160123.0
3662690,4142,4773.0,100:10,0.0,20160123.0,20160201.0
3662690,4142,4773.0,100:10,0.0,20160128.0,20160201.0
3271010,5557,3589.0,100:10,1.0,20160611.0,20160612.0
7081668,6434,10050.0,50:5,0.0,20160125.0,20160131.0
7081668,6434,10050.0,50:5,0.0,20160124.0,20160214.0
3542882,4142,4773.0,100:10,0.0,20160211.0,20160213.0
3542882,4142,4773.0,100:10,0.0,20160129.0,20160201.0
3542882,4142,4773.0,100:10,0.0,20160126.0,20160201.0
3542882,4142,4773.0,100:10,0.0,20160129.0,20160129.0
3542882,4142,4773.0,100:10,0.0,20160127.0,20160129.0
3542882,4142,4773.0,100:10,0.0,20160127.0,20160129.0
3542882,4142,4773.0,100:10,0.0,20160125.0,20160126.0
3542882,4142,4773.0,100:10,0.0,20160126.0,20160126.0
3542882,4142,4773.0,100:10,0.0,20160125.0,20160125.0
3542882,4142,4773.0,100:10,0.0,20160126.0,20160127.0
3542882,4142,4773.0,100:10,0.0,20160127.0,20160127.0
3542882,4142,4773.0,100:10,0.0,20160126.0,20160127.0
3542882,4142,4773.0,100:10,0.0,20160127.0,20160127.0
3542882,4142,4773.0,100:10,0.0,20160126.0,20160127.0
3542882,4142,4773.0,100:10,0.0,20160129.0,20160201.0
3435362,6135,10107.0,10:1,0.0,20160410.0,20160414.0
3435362,6135,6330.0,10:1,0.0,20160413.0,20160416.0
2793314,904,7534.0,20:5,0.0,20160324.0,20160401.0
2793314,904,7534.0,20:5,0.0,20160324.0,20160401.0
2793314,3381,11951.0,200:20,4.0,20160128.0,20160214.0
3585890,6683,12741.0,20:5,0.0,20160322.0,20160325.0
2814818,6683,861.0,20:5,0.0,20160525.0,20160601.0
869337,6485,10323.0,20:5,0.0,20160325.0,20160326.0
869337,6485,10323.0,20:5,0.0,20160325.0,20160326.0
705753,7717,3563.0,20:1,0.0,20160529.0,20160603.0
2562404,7555,9871.0,30:5,10.0,20160418.0,20160420.0
2069426,450,1613.0,30:5,0.0,20160610.0,20160624.0
1035609,7422,4727.0,0.8,2.0,20160428.0,20160428.0
3490148,2277,12287.0,30:10,0.0,20160606.0,20160630.0
5931720,1379,1579.0,30:5,0.0,20160325.0,20160326.0
2966372,187,2197.0,20:1,0.0,20160529.0,20160608.0
2605412,6485,10323.0,20:5,0.0,20160322.0,20160328.0
2605412,6485,10323.0,20:5,0.0,20160322.0,20160328.0
1312178,760,6103.0,20:5,0.0,20160520.0,20160525.0
1312178,760,3811.0,30:5,0.0,20160324.0,20160326.0
5784264,6885,11540.0,10:1,0.0,20160203.0,20160208.0
1905074,7974,7745.0,50:5,0.0,20160321.0,20160325.0
5802696,2970,5619.0,100:10,10.0,20160317.0,20160416.0
2510180,7718,3916.0,0.95,0.0,20160517.0,20160517.0
562905,7555,5582.0,30:5,0.0,20160107.0,20160119.0
562905,7555,5582.0,30:5,0.0,20160119.0,20160126.0
562905,7555,7232.0,30:5,0.0,20160324.0,20160330.0
562905,7555,5582.0,30:5,0.0,20160126.0,20160202.0
3570020,7428,13916.0,20:1,4.0,20160603.0,20160608.0
2788196,7428,13916.0,20:1,0.0,20160516.0,20160530.0
2788196,7428,7744.0,30:5,0.0,20160321.0,20160327.0
2788196,7428,13916.0,20:1,0.0,20160530.0,20160620.0
534489,2020,11429.0,100:10,0.0,20160220.0,20160304.0
2674532,450,1532.0,30:5,3.0,20160516.0,20160615.0
1738163,1307,3142.0,30:5,1.0,20160611.0,20160626.0
